1350875208.38	15.77	144
1350875217.80	9.42	144
1350875222.33	4.52	144
1350875231.16	8.83	144
1350875236.18	5.02	144
1350875244.44	8.26	144
1350875250.22	5.78	144
1350875270.09	19.87	144
1350875279.58	9.49	144
1350875284.04	4.46	144
1350875292.90	8.86	144
1350875297.91	5.01	144
1350875306.26	8.35	144
1350875311.86	5.60	144
1350875331.88	20.02	145
1350875337.12	5.24	145
1350875345.72	8.60	145
1350875350.47	4.76	145
1350875359.77	9.30	145
1350875363.70	3.92	145
1350875373.69	9.99	145
1350875377.10	3.42	145
